starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	22	24	22
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	22	24	22
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	22	24	22
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	22	24	22
Sun Dec 27 16:16:05 2020	1609085765	2	22	24	22
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	22
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	22	24	22
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	22	24	22
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	22	24	22
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	1	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
Sun Dec 27 16:16:05 2020	1609085765	2	23	24	23
