starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 25 00:05:58 2020	1608854758	1	1	2	1
Fri Dec 25 00:05:55 2020	1608854755	1	1	2	1
Fri Dec 25 00:05:54 2020	1608854754	1	1	2	1
Fri Dec 25 00:05:47 2020	1608854747	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:56 2020	1608854756	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:05:44 2020	1608854744	1	1	2	1
Fri Dec 25 00:05:55 2020	1608854755	1	1	2	1
Fri Dec 25 00:05:47 2020	1608854747	1	1	2	1
Fri Dec 25 00:05:47 2020	1608854747	1	1	2	1
Fri Dec 25 00:05:54 2020	1608854754	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:50 2020	1608854750	1	1	2	1
Fri Dec 25 00:05:52 2020	1608854752	1	1	2	1
Fri Dec 25 00:05:58 2020	1608854758	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:44 2020	1608854744	1	1	2	1
Fri Dec 25 00:06:03 2020	1608854763	1	1	2	1
Fri Dec 25 00:05:47 2020	1608854747	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:50 2020	1608854750	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:06:02 2020	1608854762	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:56 2020	1608854756	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:55 2020	1608854755	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:05:56 2020	1608854756	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:50 2020	1608854750	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:57 2020	1608854757	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:06:02 2020	1608854762	1	1	2	1
Fri Dec 25 00:05:50 2020	1608854750	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:46 2020	1608854746	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:54 2020	1608854754	1	1	2	1
Fri Dec 25 00:05:47 2020	1608854747	1	1	2	1
Fri Dec 25 00:05:50 2020	1608854750	1	1	2	1
Fri Dec 25 00:05:55 2020	1608854755	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:47 2020	1608854747	1	1	2	1
Fri Dec 25 00:05:55 2020	1608854755	1	1	2	1
Fri Dec 25 00:05:59 2020	1608854759	1	1	2	1
Fri Dec 25 00:05:56 2020	1608854756	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:44 2020	1608854744	1	1	2	1
Fri Dec 25 00:05:52 2020	1608854752	1	1	2	1
Fri Dec 25 00:05:50 2020	1608854750	1	1	2	1
Fri Dec 25 00:05:50 2020	1608854750	1	1	2	1
Fri Dec 25 00:05:52 2020	1608854752	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:46 2020	1608854746	1	1	2	1
Fri Dec 25 00:05:47 2020	1608854747	1	1	2	1
Fri Dec 25 00:05:47 2020	1608854747	1	1	2	1
Fri Dec 25 00:05:44 2020	1608854744	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:55 2020	1608854755	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:06:02 2020	1608854762	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:05:47 2020	1608854747	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:50 2020	1608854750	1	1	2	1
Fri Dec 25 00:05:52 2020	1608854752	1	1	2	1
Fri Dec 25 00:05:47 2020	1608854747	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:05:59 2020	1608854759	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:06:04 2020	1608854764	1	1	2	1
Fri Dec 25 00:06:03 2020	1608854763	1	1	2	1
Fri Dec 25 00:05:54 2020	1608854754	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:05:46 2020	1608854746	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:50 2020	1608854750	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:54 2020	1608854754	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:59 2020	1608854759	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:50 2020	1608854750	1	1	2	1
Fri Dec 25 00:05:58 2020	1608854758	1	1	2	1
Fri Dec 25 00:05:59 2020	1608854759	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:06:01 2020	1608854761	1	1	2	1
Fri Dec 25 00:05:57 2020	1608854757	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:46 2020	1608854746	1	1	2	1
Fri Dec 25 00:05:55 2020	1608854755	1	1	2	1
Fri Dec 25 00:05:57 2020	1608854757	1	1	2	1
Fri Dec 25 00:05:46 2020	1608854746	1	1	2	1
Fri Dec 25 00:05:55 2020	1608854755	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:54 2020	1608854754	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:54 2020	1608854754	1	1	2	1
Fri Dec 25 00:05:54 2020	1608854754	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:58 2020	1608854758	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:44 2020	1608854744	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:50 2020	1608854750	1	1	2	1
Fri Dec 25 00:05:50 2020	1608854750	1	1	2	1
Fri Dec 25 00:05:55 2020	1608854755	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:46 2020	1608854746	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:47 2020	1608854747	1	1	2	1
Fri Dec 25 00:05:59 2020	1608854759	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:52 2020	1608854752	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:59 2020	1608854759	1	1	2	1
Fri Dec 25 00:05:50 2020	1608854750	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:54 2020	1608854754	1	1	2	1
Fri Dec 25 00:05:46 2020	1608854746	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:46 2020	1608854746	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:05:46 2020	1608854746	1	1	2	1
Fri Dec 25 00:06:04 2020	1608854764	1	1	2	1
Fri Dec 25 00:05:44 2020	1608854744	1	1	2	1
Fri Dec 25 00:05:55 2020	1608854755	1	1	2	1
Fri Dec 25 00:05:59 2020	1608854759	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:50 2020	1608854750	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:59 2020	1608854759	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:54 2020	1608854754	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:57 2020	1608854757	1	1	2	1
Fri Dec 25 00:05:59 2020	1608854759	1	1	2	1
Fri Dec 25 00:05:52 2020	1608854752	1	1	2	1
Fri Dec 25 00:05:54 2020	1608854754	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:05:55 2020	1608854755	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:52 2020	1608854752	1	1	2	1
Fri Dec 25 00:05:54 2020	1608854754	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:55 2020	1608854755	1	1	2	1
Fri Dec 25 00:05:56 2020	1608854756	1	1	2	1
Fri Dec 25 00:05:59 2020	1608854759	1	1	2	1
Fri Dec 25 00:05:56 2020	1608854756	1	1	2	1
Fri Dec 25 00:06:05 2020	1608854765	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:44 2020	1608854744	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:54 2020	1608854754	1	1	2	1
Fri Dec 25 00:06:03 2020	1608854763	1	1	2	1
Fri Dec 25 00:05:50 2020	1608854750	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:59 2020	1608854759	1	1	2	1
Fri Dec 25 00:05:47 2020	1608854747	1	1	2	1
Fri Dec 25 00:05:55 2020	1608854755	1	1	2	1
Fri Dec 25 00:05:52 2020	1608854752	1	1	2	1
Fri Dec 25 00:05:55 2020	1608854755	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:05:55 2020	1608854755	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:56 2020	1608854756	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:05:49 2020	1608854749	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:54 2020	1608854754	1	1	2	1
Fri Dec 25 00:05:46 2020	1608854746	1	1	2	1
Fri Dec 25 00:05:45 2020	1608854745	1	1	2	1
Fri Dec 25 00:05:53 2020	1608854753	1	1	2	1
Fri Dec 25 00:05:48 2020	1608854748	1	1	2	1
Fri Dec 25 00:06:00 2020	1608854760	1	1	2	1
