starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:18 2020	1608853878	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:22 2020	1608853882	1	1	2	1
Thu Dec 24 23:51:00 2020	1608853860	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:51:20 2020	1608853880	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:11 2020	1608853871	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:50:57 2020	1608853857	1	1	2	1
Thu Dec 24 23:51:00 2020	1608853860	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:20 2020	1608853880	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:19 2020	1608853879	1	1	2	1
Thu Dec 24 23:51:11 2020	1608853871	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:18 2020	1608853878	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:11 2020	1608853871	1	1	2	1
Thu Dec 24 23:51:18 2020	1608853878	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:18 2020	1608853878	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:18 2020	1608853878	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:20 2020	1608853880	1	1	2	1
Thu Dec 24 23:51:20 2020	1608853880	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:19 2020	1608853879	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:19 2020	1608853879	1	1	2	1
Thu Dec 24 23:51:00 2020	1608853860	1	1	2	1
Thu Dec 24 23:51:18 2020	1608853878	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:18 2020	1608853878	1	1	2	1
Thu Dec 24 23:51:20 2020	1608853880	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:14 2020	1608853874	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:20 2020	1608853880	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:11 2020	1608853871	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:19 2020	1608853879	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:51:18 2020	1608853878	1	1	2	1
Thu Dec 24 23:51:22 2020	1608853882	1	1	2	1
Thu Dec 24 23:50:57 2020	1608853857	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:00 2020	1608853860	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:50:57 2020	1608853857	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:06 2020	1608853866	1	1	2	1
Thu Dec 24 23:51:22 2020	1608853882	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:51:05 2020	1608853865	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:50:57 2020	1608853857	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:19 2020	1608853879	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:00 2020	1608853860	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:51:18 2020	1608853878	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:19 2020	1608853879	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:51:19 2020	1608853879	1	1	2	1
Thu Dec 24 23:51:18 2020	1608853878	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:00 2020	1608853860	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:18 2020	1608853878	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:18 2020	1608853878	1	1	2	1
Thu Dec 24 23:51:06 2020	1608853866	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:20 2020	1608853880	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:51:18 2020	1608853878	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:50:57 2020	1608853857	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:20 2020	1608853880	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:51:19 2020	1608853879	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:19 2020	1608853879	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:11 2020	1608853871	1	1	2	1
Thu Dec 24 23:51:00 2020	1608853860	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:06 2020	1608853866	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:20 2020	1608853880	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:00 2020	1608853860	1	1	2	1
Thu Dec 24 23:51:22 2020	1608853882	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:18 2020	1608853878	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:11 2020	1608853871	1	1	2	1
Thu Dec 24 23:51:15 2020	1608853875	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:51:22 2020	1608853882	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:06 2020	1608853866	1	1	2	1
Thu Dec 24 23:50:57 2020	1608853857	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:12 2020	1608853872	1	1	2	1
Thu Dec 24 23:51:18 2020	1608853878	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:50:57 2020	1608853857	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:51:17 2020	1608853877	1	1	2	1
Thu Dec 24 23:50:58 2020	1608853858	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:09 2020	1608853869	1	1	2	1
Thu Dec 24 23:51:19 2020	1608853879	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:06 2020	1608853866	1	1	2	1
Thu Dec 24 23:51:00 2020	1608853860	1	1	2	1
Thu Dec 24 23:51:07 2020	1608853867	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:51:13 2020	1608853873	1	1	2	1
Thu Dec 24 23:50:59 2020	1608853859	1	1	2	1
Thu Dec 24 23:51:10 2020	1608853870	1	1	2	1
Thu Dec 24 23:51:16 2020	1608853876	1	1	2	1
Thu Dec 24 23:51:08 2020	1608853868	1	1	2	1
Thu Dec 24 23:51:00 2020	1608853860	1	1	2	1
