starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:33 2020	1609083393	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:31 2020	1609083391	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:31 2020	1609083391	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:31 2020	1609083391	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:31 2020	1609083391	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:31 2020	1609083391	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:31 2020	1609083391	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:33 2020	1609083393	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:31 2020	1609083391	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:33 2020	1609083393	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:31 2020	1609083391	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:31 2020	1609083391	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:31 2020	1609083391	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:33 2020	1609083393	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:29 2020	1609083389	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:32 2020	1609083392	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
Sun Dec 27 15:36:30 2020	1609083390	0	0	1	0
