starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 24 21:16:49 2020	1608844609	1	5	7	2
Thu Dec 24 21:16:51 2020	1608844611	2	14	15	14
Thu Dec 24 21:16:51 2020	1608844611	2	14	15	14
Thu Dec 24 21:16:51 2020	1608844611	2	14	16	14
Thu Dec 24 21:16:51 2020	1608844611	2	14	16	14
Thu Dec 24 21:16:51 2020	1608844611	2	14	16	14
Thu Dec 24 21:16:51 2020	1608844611	2	14	16	14
Thu Dec 24 21:16:51 2020	1608844611	2	14	16	14
Thu Dec 24 21:16:51 2020	1608844611	2	14	16	14
Thu Dec 24 21:16:51 2020	1608844611	2	14	16	14
Thu Dec 24 21:16:51 2020	1608844611	2	14	16	14
Thu Dec 24 21:16:51 2020	1608844611	2	14	16	14
Thu Dec 24 21:16:51 2020	1608844611	2	14	16	14
Thu Dec 24 21:16:51 2020	1608844611	2	15	16	15
Thu Dec 24 21:16:51 2020	1608844611	1	15	16	15
Thu Dec 24 21:16:51 2020	1608844611	2	14	16	14
Thu Dec 24 21:16:51 2020	1608844611	1	15	16	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	16	15
Thu Dec 24 21:16:51 2020	1608844611	2	14	16	14
Thu Dec 24 21:16:51 2020	1608844611	2	15	16	15
Thu Dec 24 21:16:51 2020	1608844611	1	15	16	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	16	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	16	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	16	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	16	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	16	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	16	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	1	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	1	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	1	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	2	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	2	16	17	16
Thu Dec 24 21:16:51 2020	1608844611	1	16	17	16
Thu Dec 24 21:16:51 2020	1608844611	2	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	1	16	17	16
Thu Dec 24 21:16:51 2020	1608844611	2	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	2	16	17	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	17	16
Thu Dec 24 21:16:51 2020	1608844611	2	15	17	15
Thu Dec 24 21:16:51 2020	1608844611	2	16	17	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	17	15
Thu Dec 24 21:16:51 2020	1608844611	1	16	17	16
Thu Dec 24 21:16:51 2020	1608844611	1	16	17	16
Thu Dec 24 21:16:51 2020	1608844611	1	16	17	16
Thu Dec 24 21:16:51 2020	1608844611	1	16	17	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	18	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	18	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	18	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	18	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	18	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	18	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	18	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	18	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	18	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	18	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	18	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	18	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	18	16
Thu Dec 24 21:16:51 2020	1608844611	2	16	18	16
Thu Dec 24 21:16:51 2020	1608844611	1	17	18	17
Thu Dec 24 21:16:51 2020	1608844611	1	17	18	17
Thu Dec 24 21:16:51 2020	1608844611	2	17	18	17
Thu Dec 24 21:16:51 2020	1608844611	1	17	18	17
Thu Dec 24 21:16:51 2020	1608844611	2	17	18	17
Thu Dec 24 21:16:51 2020	1608844611	1	17	18	17
Thu Dec 24 21:16:51 2020	1608844611	2	17	18	17
Thu Dec 24 21:16:51 2020	1608844611	2	17	18	17
Thu Dec 24 21:16:51 2020	1608844611	2	17	18	17
Thu Dec 24 21:16:51 2020	1608844611	2	17	19	17
Thu Dec 24 21:16:51 2020	1608844611	1	17	19	17
Thu Dec 24 21:16:51 2020	1608844611	2	17	19	17
Thu Dec 24 21:16:51 2020	1608844611	1	17	19	17
Thu Dec 24 21:16:51 2020	1608844611	1	17	19	17
Thu Dec 24 21:16:51 2020	1608844611	2	17	19	17
Thu Dec 24 21:16:51 2020	1608844611	2	17	19	17
Thu Dec 24 21:16:51 2020	1608844611	1	17	19	17
Thu Dec 24 21:16:51 2020	1608844611	2	17	19	17
Thu Dec 24 21:16:51 2020	1608844611	1	17	19	17
Thu Dec 24 21:16:51 2020	1608844611	1	17	19	17
Thu Dec 24 21:16:51 2020	1608844611	2	17	19	17
Thu Dec 24 21:16:51 2020	1608844611	1	18	19	18
Thu Dec 24 21:16:51 2020	1608844611	2	17	19	17
Thu Dec 24 21:16:51 2020	1608844611	1	18	19	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	19	18
Thu Dec 24 21:16:51 2020	1608844611	1	18	19	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	19	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	19	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	19	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	19	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	19	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	19	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	19	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	19	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	19	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	19	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	19	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	19	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	19	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	19	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	19	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:51 2020	1608844611	1	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	4	16	20	16
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	4	16	20	16
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	4	16	20	16
Thu Dec 24 21:16:49 2020	1608844609	4	16	20	16
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	4	16	20	16
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	4	16	20	16
Thu Dec 24 21:16:49 2020	1608844609	4	16	20	16
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	4	16	20	16
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	4	16	20	16
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	19	20	19
Thu Dec 24 21:16:51 2020	1608844611	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:51 2020	1608844611	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	19	20	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	4	16	20	16
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	1	19	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	19	20	19
Thu Dec 24 21:16:51 2020	1608844611	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:51 2020	1608844611	1	19	20	18
Thu Dec 24 21:16:51 2020	1608844611	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	1	19	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:51 2020	1608844611	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	19	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:51 2020	1608844611	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	1	19	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	1	19	20	18
Thu Dec 24 21:16:49 2020	1608844609	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	19	20	19
Thu Dec 24 21:16:50 2020	1608844610	1	19	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:51 2020	1608844611	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	19	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	2	18	20	18
Thu Dec 24 21:16:50 2020	1608844610	1	19	20	19
