starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 24 19:45:06 2020	1608839106	1	12	14	2
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	17	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	18	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	18	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	18	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	18	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	18	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	18	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	18	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	18	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	18	16
Thu Dec 24 19:45:07 2020	1608839107	1	16	18	16
Thu Dec 24 19:45:07 2020	1608839107	1	17	18	17
Thu Dec 24 19:45:07 2020	1608839107	1	17	18	16
